ciudad,estacion,ciudad_api,fecha,aqi,pm25,pm10,temp,viento,humedad,fecha_descarga
Osorno,Osorno,"Osorno, Chile",2026-04-26 05:00:00,42,42,17,9.5,4.1,61.5,2026-04-26 10:11:07.226449
Talca,La Florida 2,"La Florida 2, Chile",2026-04-26 09:00:00,53,53,20,4.9,3,97.9,2026-04-26 14:15:27.399922
Talca,U.C. Maule,"U.C. Maule, Chile",2026-04-26 09:00:00,46,46,12,4.9,3,97.9,2026-04-26 14:15:27.573615
Talca,Universidad de Talca,"Universidad de Talca, Chile",2026-04-26 09:00:00,42,42,16,4.9,3,97.9,2026-04-26 14:15:27.738232
Los Angeles,Los Angeles Oriente,"Los Ángeles Oriente, Chile",2026-04-26 09:00:00,72,72,27,12.3,1.8,79.4,2026-04-26 14:15:27.919459
Los Angeles,21 de Mayo 2,"21 de mayo 2, Chile",2026-04-26 09:00:00,72,72,20,12.3,1.8,79.4,2026-04-26 14:15:28.185845
Chillan,INIA Chillan,"INIA, Chillán, Chile",2026-04-26 09:00:00,72,72,9,12.6,2.4,78.7,2026-04-26 14:15:28.365557
Chillan,Puren,"Puren, Chile",2026-04-26 09:00:00,70,70,20,12.5,2.1,78.8,2026-04-26 14:15:28.559505
Rancagua,Rancagua II,"Rancagua II, Chile",2026-04-26 09:00:00,85,85,33,14.4,13,56,2026-04-26 14:15:28.732452
Rancagua,Rancagua I,"Rancagua I, Chile",2026-04-26 09:00:00,76,76,33,13,10,62.1,2026-04-26 14:15:28.904836
Temuco,Nielol,"Ñielol, Chile",2026-04-26 09:00:00,17,17,10,4.7,1,99.3,2026-04-26 14:15:29.068644
Temuco,Las Encinas,"Las Encinas Temuco, Chile",2026-04-26 09:00:00,68,68,28,4.7,1,99.3,2026-04-26 14:15:29.232804
Temuco,Padre Las Casas II,"Padre Las Casas II, Chile",2026-04-26 09:00:00,124,124,48,4.7,1,99.3,2026-04-26 14:15:29.397194
Valdivia,Valdivia 2,"Valdivia 2, Chile",2026-04-26 09:00:00,57,57,18,6.3,2,82.7,2026-04-26 14:15:29.564612
Valdivia,Valdivia,"Valdivia, Chile",2026-04-26 09:00:00,72,72,23,6.3,1.6,83.6,2026-04-26 14:15:29.730849
Osorno,Osorno,"Osorno, Chile",2026-04-26 08:00:00,89,89,30,6.2,2.2,83,2026-04-26 14:15:29.898207
